ctname,rfgrp,popuni,ctname,stname,STABREV,state_deaths
"Beaver County, OK",18.4,5307,Beaver County,Oklahoma,OK,1418.0
"Beaver County, PA",239.1999999999998,163541,Beaver County,Pennsylvania,PA,8865.0
"Beaver County, UT",13.799999999999999,6580,Beaver County,Utah,UT,582.0
"Beaverhead County, MT",18.4,9025,Beaverhead County,Montana,MT,252.0
"Becker County, MN",50.60000000000001,34298,Becker County,Minnesota,MN,2289.0
"Beckham County, OK",23.0,19946,Beckham County,Oklahoma,OK,1418.0
"Bedford County, PA",55.20000000000001,47995,Bedford County,Pennsylvania,PA,8865.0
"Bedford County, TN",46.00000000000001,48863,Bedford County,Tennessee,TN,2959.0
"Bedford County, VA",82.79999999999998,78664,Bedford County,Virginia,VA,3466.0
"Bee County, TX",36.800000000000004,24903,Bee County,Texas,TX,17706.0
"Belknap County, NH",73.6,60932,Belknap County,New Hampshire,NH,452.0
"Bell County, KY",46.00000000000001,25890,Bell County,Kentucky,KY,1492.0
"Bell County, TX",303.6,353329,Bell County,Texas,TX,17706.0
"Belmont County, OH",96.59999999999997,64659,Belmont County,Ohio,OH,4890.0
"Beltrami County, MN",50.60000000000001,45313,Beltrami County,Minnesota,MN,2289.0
"Ben Hill County, GA",27.6,16685,Ben Hill County,Georgia,GA,6746.0
"Benewah County, ID",13.799999999999999,9217,Benewah County,Idaho,ID,571.0
"Bennett County, SD",13.799999999999999,3468,Bennett County,South Dakota,SD,376.0
"Bennington County, VT",59.80000000000001,34824,Bennington County,Vermont,VT,62.0
"Benson County, ND",23.0,6949,Benson County,North Dakota,ND,375.0
"Bent County, CO",9.2,4042,Bent County,Colorado,CO,2094.0
"Benton County, AR",229.9999999999998,271564,Benton County,Arkansas,AR,1622.0
"Benton County, IA",36.800000000000004,25632,Benton County,Iowa,IA,1638.0
"Benton County, IN",18.4,8632,Benton County,Indiana,IN,4116.0
"Benton County, MN",46.00000000000001,40479,Benton County,Minnesota,MN,2289.0
"Benton County, MO",32.2,19256,Benton County,Missouri,MO,2814.0
"Benton County, MS",13.799999999999999,8262,Benton County,Mississippi,MS,3124.0
"Benton County, OR",87.39999999999998,87275,Benton County,Oregon,OR,596.0
"Benton County, TN",27.6,16141,Benton County,Tennessee,TN,2959.0
"Benton County, WA",174.79999999999987,201153,Benton County,Washington,WA,2056.0
"Benzie County, MI",32.2,17698,Benzie County,Michigan,MI,6581.0
"Bergen County, NJ",828.0000000000026,931875,Bergen County,New Jersey,NJ,14511.0
"Berkeley County, SC",211.59999999999982,220075,Berkeley County,South Carolina,SC,3620.0
"Berkeley County, WV",69.0,116873,Berkeley County,West Virginia,WV,352.0
"Berks County, PA",418.6000000000006,412769,Berks County,Pennsylvania,PA,8865.0
"Berkshire County, MA",183.99999999999986,122749,Berkshire County,Massachusetts,MA,8189.0
"Bernalillo County, NM",708.400000000002,672145,Bernalillo County,New Mexico,NM,854.0
"Berrien County, GA",32.2,19185,Berrien County,Georgia,GA,6746.0
"Berrien County, MI",229.9999999999998,152493,Berrien County,Michigan,MI,6581.0
